split,channel,lag,autocorrelation
train,acc1_x,0,1.0
train,acc1_x,1,0.6983826134719631
train,acc1_x,2,0.31910478322735975
train,acc1_x,3,0.21704930881080448
train,acc1_x,4,0.22296080810264815
train,acc1_x,5,0.21105141390978635
train,acc1_x,6,0.16265939077485936
train,acc1_x,7,0.09431221427439614
train,acc1_x,8,0.0706544771262421
train,acc1_x,9,0.06651711716283511
train,acc1_x,10,0.02560192779985664
train,acc1_x,11,-0.014389871976613402
train,acc1_x,12,-0.022876828151997756
train,acc1_x,13,-0.012632401482211465
train,acc1_x,14,-0.0004678761548638363
train,acc1_x,15,-0.007576746438552417
train,acc1_x,16,-0.03522158102814072
train,acc1_x,17,-0.05315285127220706
train,acc1_x,18,-0.04874619945619127
train,acc1_x,19,-0.04052096821429902
train,acc1_x,20,-0.04077956105007727
train,acc1_x,21,-0.043646848422046115
train,acc1_x,22,-0.045382465306002706
train,acc1_x,23,-0.046504106482507156
train,acc1_x,24,-0.048238622184780734
train,acc1_x,25,-0.050815653146632916
train,acc1_x,26,-0.05275044078339074
train,acc1_x,27,-0.0522690359659353
train,acc1_x,28,-0.051114956123618126
train,acc1_x,29,-0.05257398394091496
train,acc1_x,30,-0.05968084498141385
train,acc1_x,31,-0.06942817832000825
train,acc1_x,32,-0.07585825169590707
train,acc1_y,0,1.0
train,acc1_y,1,0.7486603618661336
train,acc1_y,2,0.3474603399840863
train,acc1_y,3,0.10083387779908765
train,acc1_y,4,0.022325433735401547
train,acc1_y,5,0.035413938817727364
train,acc1_y,6,0.08918740732733599
train,acc1_y,7,0.13891833867257283
train,acc1_y,8,0.1445520476140616
train,acc1_y,9,0.10941940806570341
train,acc1_y,10,0.06944106461874161
train,acc1_y,11,0.05006399696301083
train,acc1_y,12,0.05481494484010898
train,acc1_y,13,0.07254441767421331
train,acc1_y,14,0.08087043586581723
train,acc1_y,15,0.05659495242128546
train,acc1_y,16,0.001716514633730476
train,acc1_y,17,-0.05377426599340329
train,acc1_y,18,-0.08187666367793943
train,acc1_y,19,-0.07482628364877232
train,acc1_y,20,-0.0447282711568395
train,acc1_y,21,-0.015032979105840066
train,acc1_y,22,-0.007454863246524451
train,acc1_y,23,-0.028044226630638738
train,acc1_y,24,-0.062153290073219715
train,acc1_y,25,-0.08928591267079007
train,acc1_y,26,-0.09886086930965268
train,acc1_y,27,-0.09302827745416457
train,acc1_y,28,-0.0795858938332285
train,acc1_y,29,-0.06708645803213424
train,acc1_y,30,-0.06393594657961327
train,acc1_y,31,-0.07091532757757929
train,acc1_y,32,-0.07942026630678733
train,acc1_z,0,1.0
train,acc1_z,1,0.8007341099779848
train,acc1_z,2,0.46843051984445716
train,acc1_z,3,0.23312504246832194
train,acc1_z,4,0.13513281732261262
train,acc1_z,5,0.13151514784481266
train,acc1_z,6,0.17340901363722858
train,acc1_z,7,0.2094622516384784
train,acc1_z,8,0.20258394358098183
train,acc1_z,9,0.15963198902412296
train,acc1_z,10,0.11301329441053626
train,acc1_z,11,0.08483773595987443
train,acc1_z,12,0.08011177660134364
train,acc1_z,13,0.08917240741929247
train,acc1_z,14,0.08786929518586886
train,acc1_z,15,0.054806876114366986
train,acc1_z,16,-0.005267105951929307
train,acc1_z,17,-0.0637992915466622
train,acc1_z,18,-0.09536684978314157
train,acc1_z,19,-0.0926681441320662
train,acc1_z,20,-0.06670297863626465
train,acc1_z,21,-0.040729785429416
train,acc1_z,22,-0.035891100224010264
train,acc1_z,23,-0.057186467806588245
train,acc1_z,24,-0.09101523648742761
train,acc1_z,25,-0.11828192466009255
train,acc1_z,26,-0.12831838512180904
train,acc1_z,27,-0.12310823589527452
train,acc1_z,28,-0.11072791668075474
train,acc1_z,29,-0.09955393875357448
train,acc1_z,30,-0.09673026110579519
train,acc1_z,31,-0.10208460193747608
train,acc1_z,32,-0.10897010382066391
train,gyro_x,0,1.0
train,gyro_x,1,0.7540168250954716
train,gyro_x,2,0.40575715340486873
train,gyro_x,3,0.22416470500068245
train,gyro_x,4,0.14320689282731433
train,gyro_x,5,0.09745687456220654
train,gyro_x,6,0.07996350547428024
train,gyro_x,7,0.07844384207078775
train,gyro_x,8,0.046479996253815395
train,gyro_x,9,0.003227511292288407
train,gyro_x,10,-0.027586598222042732
train,gyro_x,11,-0.055984020870659144
train,gyro_x,12,-0.06413516902204092
train,gyro_x,13,-0.04649120193223951
train,gyro_x,14,-0.026119657470325443
train,gyro_x,15,-0.03381958076266106
train,gyro_x,16,-0.06581892158286919
train,gyro_x,17,-0.09189910119836169
train,gyro_x,18,-0.10666219499391447
train,gyro_x,19,-0.10398348131910234
train,gyro_x,20,-0.08823606200769082
train,gyro_x,21,-0.07152214579695994
train,gyro_x,22,-0.0586570651135856
train,gyro_x,23,-0.06380089950765304
train,gyro_x,24,-0.07919711067223832
train,gyro_x,25,-0.09030000050226575
train,gyro_x,26,-0.08914959407504146
train,gyro_x,27,-0.08092586623193783
train,gyro_x,28,-0.07331428555172886
train,gyro_x,29,-0.058393385691626075
train,gyro_x,30,-0.0493637335359344
train,gyro_x,31,-0.054547366779652585
train,gyro_x,32,-0.05904068915745477
train,gyro_y,0,1.0
train,gyro_y,1,0.8307529073782357
train,gyro_y,2,0.5362626131695625
train,gyro_y,3,0.3072672171801862
train,gyro_y,4,0.17401994707425122
train,gyro_y,5,0.09064977456541963
train,gyro_y,6,0.02260429154518625
train,gyro_y,7,-0.034034905126278055
train,gyro_y,8,-0.06952679592899674
train,gyro_y,9,-0.08681438788737882
train,gyro_y,10,-0.09666161766131484
train,gyro_y,11,-0.09834866337818851
train,gyro_y,12,-0.0847251663450544
train,gyro_y,13,-0.05836630941832365
train,gyro_y,14,-0.03485218041912539
train,gyro_y,15,-0.029549464600567774
train,gyro_y,16,-0.04102538492808685
train,gyro_y,17,-0.05482628863468423
train,gyro_y,18,-0.062346766810591224
train,gyro_y,19,-0.06586318736535417
train,gyro_y,20,-0.07050159422249273
train,gyro_y,21,-0.0759178127129407
train,gyro_y,22,-0.07750543601698694
train,gyro_y,23,-0.07284207306718793
train,gyro_y,24,-0.0639511832661456
train,gyro_y,25,-0.05463672116442675
train,gyro_y,26,-0.04654886257904393
train,gyro_y,27,-0.03920049964965428
train,gyro_y,28,-0.03294023043387938
train,gyro_y,29,-0.03007383001356163
train,gyro_y,30,-0.032925102177304454
train,gyro_y,31,-0.04061545509481534
train,gyro_y,32,-0.049928053667204396
train,gyro_z,0,1.0
train,gyro_z,1,0.7706941791905249
train,gyro_z,2,0.39011045142260714
