split,subject_id,fall_windows,anomalous_windows,anomaly_rate
train,SA01,300,12,0.04
train,SA04,300,8,0.0266666666666666
train,SA05,300,3,0.01
train,SA06,299,12,0.040133779264214
train,SA07,299,2,0.0066889632107023
train,SA08,300,2,0.0066666666666666
train,SA10,299,10,0.0334448160535117
train,SA11,300,21,0.07
train,SA16,300,1,0.0033333333333333
train,SA17,300,3,0.01
train,SA19,300,1,0.0033333333333333
train,SA20,292,5,0.0171232876712328
train,SA21,300,4,0.0133333333333333
train,SA23,299,4,0.0133779264214046
train,SE06,296,2,0.0067567567567567
val,SA12,300,2,0.0066666666666666
val,SA13,300,1,0.0033333333333333
val,SA15,300,11,0.0366666666666666
val,SA18,300,4,0.0133333333333333
val,SA22,300,5,0.0166666666666666
test,SA02,300,15,0.05
test,SA03,300,3,0.01
test,SA09,300,3,0.01
test,SA14,300,3,0.01
