split,subject_id,fall_windows,anomalous_windows,anomaly_rate
train,SA01,300,12,0.04
train,SA04,300,8,0.02666666666666667
train,SA05,300,3,0.01
train,SA06,299,12,0.04013377926421405
train,SA07,299,2,0.006688963210702341
train,SA08,300,2,0.006666666666666667
train,SA10,299,10,0.033444816053511704
train,SA11,300,21,0.07
train,SA16,300,1,0.0033333333333333335
train,SA17,300,3,0.01
train,SA19,300,1,0.0033333333333333335
train,SA20,292,5,0.017123287671232876
train,SA21,300,4,0.013333333333333334
train,SA23,299,4,0.013377926421404682
train,SE06,296,2,0.006756756756756757
val,SA12,300,2,0.006666666666666667
val,SA13,300,1,0.0033333333333333335
val,SA15,300,11,0.03666666666666667
val,SA18,300,4,0.013333333333333334
val,SA22,300,5,0.016666666666666666
test,SA02,300,15,0.05
test,SA03,300,3,0.01
test,SA09,300,3,0.01
test,SA14,300,3,0.01
