layer,type,output_shape,params
conv1d,Conv1D,"(None, 64, 32)",992
batch_normalization,BatchNormalization,"(None, 64, 32)",128
re_lu,ReLU,"(None, 64, 32)",0
max_pooling1d,MaxPooling1D,"(None, 32, 32)",0
conv1d_1,Conv1D,"(None, 32, 64)",10304
batch_normalization_1,BatchNormalization,"(None, 32, 64)",256
re_lu_1,ReLU,"(None, 32, 64)",0
max_pooling1d_1,MaxPooling1D,"(None, 16, 64)",0
conv1d_2,Conv1D,"(None, 16, 96)",18528
batch_normalization_2,BatchNormalization,"(None, 16, 96)",384
re_lu_2,ReLU,"(None, 16, 96)",0
global_average_pooling1d,GlobalAveragePooling1D,"(None, 96)",0
dense,Dense,"(None, 32)",3104
dropout,Dropout,"(None, 32)",0
dense_1,Dense,"(None, 1)",33
